ID,type,Pd,Qd,Gs,Bs,area_num,Vm,Va,baseKV,zone,max_Vm,min_Vm
1,1,0.014978995433789954,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
2,1,0.024850228310502286,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
3,1,0.05402294520547945,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
4,1,0.027113812785388127,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
5,1,0.06190913242009132,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
6,1,0.009712100456621006,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
7,1,0.03991598173515982,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
8,1,0.0632722602739726,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
9,1,0.10946381278538812,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
10,1,0.049799771689497715,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
11,1,0.006145662100456622,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
12,1,0.09983059360730594,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
13,1,0.15316255707762558,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
14,1,0.040807648401826484,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
15,1,0.10676050228310503,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
16,1,0.11510068493150685,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
17,1,0.11694269406392693,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
18,1,0.025126826484018264,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
19,1,0.04958276255707762,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
20,1,0.06807271689497717,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
21,1,0.002941552511415525,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
22,1,0.008997374429223744,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
23,1,0.010863584474885843,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
24,1,0.005596575342465753,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
25,1,0.09629988584474886,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
26,1,0.007361986301369863,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
27,1,0.02308767123287671,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
