f_bus,t_bus,r,x,b,rateA,rateB,rateC,ratio,angle,status,min_a,max_a
438,1068,0.024045249810922365,0.015028281695387032,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
1121,438,0.00968021646967942,0.0060501355204297174,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
321,1096,2.5826446668388435e-06,2.5826446668388435e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
1096,159,2.905475250193698e-06,2.905475250193698e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
870,159,0.04014763301092247,0.008768594203000763,0.0,3.74,3.74,3.74,0.0,0.0,1,0.0,0.0
705,870,0.00359512525453283,0.0007852068005449242,0.0,3.74,3.74,3.74,0.0,0.0,1,0.0,0.0
873,963,2.5826446668388435e-06,2.5826446668388435e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
963,731,2.744059958516271e-06,2.744059958516271e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
97,731,0.011458377881490128,0.0037539147918784948,0.0,4.4,4.4,4.4,0.0,0.0,1,0.0,0.0
1103,1049,0.05758556357009092,0.03615007861669807,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
513,1103,0.04408058485491817,0.02767215442870079,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
77,513,0.03331125268929715,0.020911567568025553,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
193,77,0.009159662704343608,0.005750096141048081,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
1045,193,0.08947075938655101,0.056166420630454364,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
84,534,3.0668905418711265e-06,3.0668905418711265e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
534,696,5.64953520870997e-06,5.64953520870997e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
696,620,0.1107060595671817,0.0071989186221679624,0.0,1.782,1.782,1.782,0.0,0.0,1,0.0,0.0
620,628,0.04277245000705894,0.002781377894537987,0.0,1.782,1.782,1.782,0.0,0.0,1,0.0,0.0
628,846,0.000153623985670061,9.551750006325289e-05,0.0,6.864,6.864,6.864,0.0,0.0,1,0.0,0.0
846,692,0.07656547594544903,0.025083853549911037,0.0,4.4,4.4,4.4,0.0,0.0,1,0.0,0.0
308,828,3.0668905418711265e-06,3.0668905418711265e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
828,547,3.3897211252259822e-06,3.3897211252259822e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
582,547,0.02767995600005717,0.017299973148784717,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
283,582,0.06246611772723469,0.007808264717856403,0.0,2.53,2.53,2.53,0.0,0.0,1,0.0,0.0
1036,921,0.018095996300902733,0.008340624401697317,0.0,5.17,5.17,5.17,0.0,0.0,1,0.0,0.0
430,175,2.09839879180656e-06,2.09839879180656e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
991,175,0.0025876781834917356,0.0037262567332783628,0.0,10.23,10.23,10.23,0.0,0.0,1,0.0,0.0
189,1045,0.05135852350545464,0.03224097407851052,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
411,421,2.5826446668388435e-06,2.5826446668388435e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
421,182,2.2598140834839877e-06,2.2598140834839877e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
182,497,0.0007701980885409926,0.000147621297131437,0.0,3.19,3.19,3.19,0.0,0.0,1,0.0,0.0
253,974,4.845148258627637e-06,4.845148258627637e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
955,103,2.905475250193698e-06,2.905475250193698e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
103,619,4.842458750322831e-06,4.842458750322831e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
619,606,0.0037754901089855014,0.0012369000493173197,0.0,4.4,4.4,4.4,0.0,0.0,1,0.0,0.0
779,389,0.030976757554717668,0.025596317420119453,0.0,5.39,5.39,5.39,0.0,0.0,1,0.0,0.0
1041,355,2.4212293751614154e-06,2.4212293751614154e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
355,692,3.551136416903409e-06,3.551136416903409e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
771,692,0.00037326654145827527,0.00012228701180793349,0.0,4.4,4.4,4.4,0.0,0.0,1,0.0,0.0
440,356,0.08006714587110358,0.0369037426578978,0.0,5.17,5.17,5.17,0.0,0.0,1,0.0,0.0
1092,1001,2.2598140834839877e-06,2.2598140834839877e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
1001,1101,3.551136416903409e-06,3.551136416903409e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
597,1101,0.0003787824724285035,4.7347809065399894e-05,0.0,2.53,2.53,2.53,0.0,0.0,1,0.0,0.0
189,1036,0.01969871458930224,0.009079333176997223,0.0,5.17,5.17,5.17,0.0,0.0,1,0.0,0.0
173,189,0.006449004742332083,0.004048445721139887,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
203,173,0.0777931697250228,0.04883566343809025,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
592,993,2.5826446668388435e-06,2.5826446668388435e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
993,380,0.000296975544319703,0.00018560972216017887,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
1028,380,0.03895289956334133,0.01795377823981219,0.0,5.17,5.17,5.17,0.0,0.0,1,0.0,0.0
1028,868,0.03536462243835505,0.016299905678663414,0.0,5.17,5.17,5.17,0.0,0.0,1,0.0,0.0
974,93,0.12978600912237645,0.059819660475450155,0.0,5.17,5.17,5.17,0.0,0.0,1,0.0,0.0
389,974,0.03137983092861955,0.025929379846158288,0.0,5.39,5.39,5.39,0.0,0.0,1,0.0,0.0
938,389,0.029740903333402825,0.024575122194057077,0.0,5.39,5.39,5.39,0.0,0.0,1,0.0,0.0
868,995,0.005222010679942257,0.004314984959253722,0.0,5.39,5.39,5.39,0.0,0.0,1,0.0,0.0
990,373,2.905475250193698e-06,2.905475250193698e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
359,876,2.905475250193698e-06,2.905475250193698e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
876,680,2.9861828960324122e-06,2.9861828960324122e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
1085,356,2.744059958516271e-06,2.744059958516271e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
356,121,0.07312869360972411,0.03370574110667143,0.0,5.17,5.17,5.17,0.0,0.0,1,0.0,0.0
885,398,2.905475250193698e-06,2.905475250193698e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
398,166,2.5019370210001292e-06,2.5019370210001292e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
1012,180,1.9369835001291324e-06,1.9369835001291324e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
180,524,4.842458750322831e-06,4.842458750322831e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
1093,204,1.6141529167742769e-06,1.6141529167742769e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
204,145,2.905475250193698e-06,2.905475250193698e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
145,911,0.06356328501902564,0.013882777407820759,0.0,3.74,3.74,3.74,0.0,0.0,1,0.0,0.0
510,668,2.744059958516271e-06,2.744059958516271e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
668,817,2.744059958516271e-06,2.744059958516271e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
940,817,0.00012782937697095395,2.791905399692582e-05,0.0,3.74,3.74,3.74,0.0,0.0,1,0.0,0.0
868,403,0.03728282879127193,0.023404775577422498,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
782,868,0.0878784754695846,0.05516684391000814,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
86,855,2.09839879180656e-06,2.09839879180656e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
855,526,5.152170443415006e-05,3.220106647888376e-05,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
526,58,0.029655498724081714,0.013668513862938873,0.0,5.17,5.17,5.17,0.0,0.0,1,0.0,0.0
906,1018,2.3405217293227016e-06,2.3405217293227016e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
1018,987,7.263688125484246e-06,7.263688125484246e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
373,987,0.039022897255617854,0.014633586470856694,0.0,5.28,5.28,5.28,0.0,0.0,1,0.0,0.0
373,725,0.014159848043771293,0.0017699810059139066,0.0,2.53,2.53,2.53,0.0,0.0,1,0.0,0.0
781,452,0.07399314726134829,0.03410417637936837,0.0,5.17,5.17,5.17,0.0,0.0,1,0.0,0.0
891,484,1.1299070417419939e-06,1.1299070417419939e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
484,680,0.007299683213522727,0.01051154424793448,0.0,10.23,10.23,10.23,0.0,0.0,1,0.0,0.0
841,680,0.003062963854486907,0.0006689780961968012,0.0,3.74,3.74,3.74,0.0,0.0,1,0.0,0.0
774,841,0.005475232143032775,0.0011958385894485764,0.0,3.74,3.74,3.74,0.0,0.0,1,0.0,0.0
875,774,1.7755682084517045e-06,1.7755682084517045e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
912,875,3.5730797953317335e-06,3.5730797953317335e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
912,1107,3.3481516060073975e-06,3.3481516060073975e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
1107,88,4.843131266861844e-06,4.843131266861844e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
88,691,0.003251161298161157,0.004681672456618957,0.0,10.23,10.23,10.23,0.0,0.0,1,0.0,0.0
126,427,1.1299070417419939e-06,1.1299070417419939e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
427,121,0.0002934593130070827,0.0001834120775073795,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
121,835,0.009172195198172497,0.004227555853511759,0.0,5.17,5.17,5.17,0.0,0.0,1,0.0,0.0
626,630,1.9369835001291324e-06,1.9369835001291324e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
630,382,2.4212293751614154e-06,2.4212293751614154e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
166,382,0.030572699508510943,0.011464762315691603,0.0,5.28,5.28,5.28,0.0,0.0,1,0.0,0.0
524,166,0.013621854307088437,0.0051081953651581635,0.0,5.28,5.28,5.28,0.0,0.0,1,0.0,0.0
712,524,7.779245341000034e-05,2.9172170028750127e-05,0.0,5.28,5.28,5.28,0.0,0.0,1,0.0,0.0
199,836,3.551136416903409e-06,3.551136416903409e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
836,210,0.006233799534251904,0.002337674825344464,0.0,5.28,5.28,5.28,0.0,0.0,1,0.0,0.0
838,759,2.5019370210001292e-06,2.5019370210001292e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
759,884,6.9408575421293905e-06,6.9408575421293905e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
884,1091,0.018875071298491055,0.007078151736934144,0.0,5.28,5.28,5.28,0.0,0.0,1,0.0,0.0
913,911,2.09839879180656e-06,2.09839879180656e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
348,911,0.0004238229954253126,9.256664919134232e-05,0.0,3.74,3.74,3.74,0.0,0.0,1,0.0,0.0
58,782,0.07340441067258507,0.04608056346268996,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
781,58,0.035018722834736934,0.021983453925761443,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
691,781,0.04864072321303225,0.03053483996877015,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
835,691,0.05145026054121108,0.03229856318329755,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
132,835,0.06355422656342026,0.03989698362324209,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
728,132,0.05114905394081708,0.032109476863583786,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
1111,976,0.020766829180114348,0.013036644272256237,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
954,1111,0.03692310088186919,0.02317895175285054,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
954,924,0.00012466422142032839,7.751142977748039e-05,0.0,6.864,6.864,6.864,0.0,0.0,1,0.0,0.0
83,954,0.004959633760963327,0.0043644776858414855,0.0,8.8,8.8,8.8,0.0,0.0,1,0.0,0.0
154,1030,2.09839879180656e-06,2.09839879180656e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
1030,936,1.6141529167742769e-06,1.6141529167742769e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
936,537,0.009049286613179313,0.005271428971330863,0.0,6.82,6.82,6.82,0.0,0.0,1,0.0,0.0
425,301,0.0190142449688249,0.016732535481297533,0.0,8.8,8.8,8.8,0.0,0.0,1,0.0,0.0
425,863,0.010325623152590394,0.014868897934486062,0.0,10.23,10.23,10.23,0.0,0.0,1,0.0,0.0
863,1123,0.01661671585413223,0.023928071787073246,0.0,10.23,10.23,10.23,0.0,0.0,1,0.0,0.0
211,353,3.2283058335485544e-07,3.2283058335485544e-07,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
874,690,6.456611667097109e-07,6.456611667097109e-07,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
134,874,6.456611667097109e-07,6.456611667097109e-07,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
181,134,6.456611667097109e-07,6.456611667097109e-07,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
1031,181,6.456611667097109e-07,6.456611667097109e-07,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
519,419,3.2283058335485544e-07,3.2283058335485544e-07,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
1014,221,3.2283058335485544e-07,3.2283058335485544e-07,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
799,832,3.2283058335485544e-07,3.2283058335485544e-07,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
585,743,3.2283058335485544e-07,3.2283058335485544e-07,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
605,198,3.2283058335485544e-07,3.2283058335485544e-07,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
