f_bus,t_bus,repair_time,failure_frequency_permanent,failure_frequency_temporary,length
95,1026,0.0,0.0,0.0,0.000125
1026,674,244.0,0.0032611748351374812,5.658189777052414e-05,0.1609497801127
465,709,104.0,0.05396346396024507,0.12330130868555428,0.74483055818
465,904,104.0,0.06696941598786238,0.15301865423787395,0.9243451741344001
982,950,0.0,0.0,0.0,0.00023046875
382,950,244.0,0.0053297702753026385,9.247235493427294e-05,0.2630418168994
558,382,244.0,0.006382009289923195,0.00011072886780623842,0.3149732976052
558,1032,244.0,0.010189532666721757,0.00017678999894943113,0.5028871879207
545,1032,0.0,0.0,0.0,0.0002421875
77,545,0.0,0.0,0.0,0.0001015625
209,221,0.0,0.0,0.0,0.0001015625
221,411,0.0,0.0,0.0,7.8125e-05
961,411,244.0,0.007368997025802026,0.00012785326070003517,0.3636844115731
699,961,244.0,0.0029666352786979476,5.147159000895494e-05,0.14641327739819998
747,647,0.0,0.0,0.0,0.000125
647,608,0.0,0.0,0.0,0.000140625
91,608,244.0,0.006142299527974362,0.00010656986562731544,0.30314282686169997
1051,91,244.0,0.0005500283453302973,9.543078546740174e-06,0.0271457207025
1008,538,0.0,0.0,0.0,0.000125
538,784,0.0,0.0,0.0,0.0001328125
668,784,244.0,0.0017530495268221924,3.0415685796599555e-05,0.0865188007796
523,390,104.0,0.039247854335064364,0.08967756047274071,0.5417183980867
651,523,104.0,0.030043439121412788,0.06864635976322808,0.4146744832195
904,651,104.0,0.02270352345647785,0.05187536063324621,0.31336531808260004
1049,904,104.0,0.006242833885628882,0.014264273112112303,0.0861666969912
479,1049,104.0,0.060979438490288314,0.13933213357656113,0.8416685267218
412,243,0.0,0.0,0.0,0.0001484375
243,158,0.0,0.0,0.0,0.0002734375
158,110,244.0,0.005932658493204245,0.00010293256060764464,0.29279634740120003
110,441,244.0,0.0022921449810571746,3.976907695840525e-05,0.1131249470935
441,798,244.0,7.806039911283476e-05,1.354360236973474e-06,0.0038525392559
798,365,244.0,0.01171396795997708,0.00020323919173461812,0.5781231190342
966,780,0.0,0.0,0.0,0.0001484375
780,771,0.0,0.0,0.0,0.0001640625
884,771,244.0,0.008482902654065956,0.00014717969904530842,0.4186593439207
1011,884,244.0,0.0051049595875615915,8.857185404286676e-05,0.2519466648183
700,753,104.0,0.008764590736261027,0.02002624421349994,0.1209732387661
420,457,0.0,0.0,0.0,0.0001015625
351,457,244.0,0.002030155517222218,3.5223518437609464e-05,0.1001948992648
590,479,104.0,0.03500377046675277,0.07998023830825576,0.4831394425377
813,92,0.0,0.0,0.0,0.000125
92,301,0.0,0.0,0.0,0.000109375
301,547,244.0,6.294340451231065e-05,1.092077996270374e-06,0.0031064655003000003
256,566,0.0,0.0,0.0,0.0002345051722
371,1042,0.0,0.0,0.0,0.000140625
1042,1009,0.0,0.0,0.0,0.000234375
1009,293,244.0,0.0005776228727602557,1.0021847950099074e-05,0.028507602032600003
656,160,104.0,0.030173183487953167,0.06894281312287141,0.4164652794705
667,828,0.0,0.0,0.0,0.0001171875
828,365,0.0,0.0,0.0,0.000171875
877,365,244.0,5.7107100206481304e-05,9.908171960115055e-07,0.0028184245512
551,588,104.0,0.03877961474526424,0.08860767818639831,0.5352555224772
368,222,0.0,0.0,0.0,0.000109375
222,555,0.0,0.0,0.0,0.000171875
716,555,244.0,3.095548890468521e-05,5.370826150655163e-07,0.0015277559114000002
590,700,104.0,0.009540849176512902,0.021799919855074314,0.1316875436849
628,590,104.0,0.004395365488176801,0.010042986070033939,0.0606670196779
136,628,104.0,0.05302049340742109,0.12114671195134923,0.7318152098005001
963,713,0.0,0.0,0.0,0.000125
713,451,244.0,9.101223401861936e-05,1.5790766154650048e-06,0.0044917552089
93,451,104.0,0.018866395471485387,0.04310789339852449,0.2604033699583
93,366,104.0,0.01712845410999079,0.03913686506630131,0.23641543924800001
566,807,104.0,0.06286038272418985,0.14362990967513528,0.8676302541727
160,566,104.0,0.030565800657402442,0.06983990547485938,0.4218843768377
725,160,104.0,0.028969388800332122,0.06619225840529916,0.3998499067106
366,241,104.0,0.00508654548958602,0.01162226568732878,0.070207029686
436,834,0.0,0.0,0.0,0.000140625
1037,64,0.0,0.0,0.0,0.000140625
64,144,0.0,0.0,0.0,0.00014453125
833,588,0.0,0.0,0.0,0.0001328125
588,556,104.0,0.035419054022169806,0.08092912116529831,0.48887139263289997
378,476,0.0,0.0,0.0,0.000140625
476,1044,0.0,0.0,0.0,0.00012109375
268,176,0.0,0.0,0.0,9.375e-05
176,132,0.0,0.0,0.0,0.000234375
990,149,0.0,0.0,0.0,7.8125e-05
149,154,0.0,0.0,0.0,0.000140625
154,417,244.0,0.009724726124268468,0.00016872553212453182,0.4799474454706
78,536,0.0,0.0,0.0,0.0001328125
536,738,0.0,0.0,0.0,0.0001328125
1120,738,244.0,1.9556976662019813e-05,3.3931662978267813e-07,0.0009652015768999999
366,403,104.0,0.0254103796660416,0.058060265911171104,0.3507266932339
777,366,104.0,0.059894205953541516,0.1368524819347095,0.8266896077129
1123,163,0.0,0.0,0.0,0.0001015625
163,375,244.0,1.578953388818792e-05,2.739509034228188e-07,0.0007792657971
375,984,104.0,0.014363304737375586,0.03281876553500233,0.19824947287910002
896,105,0.0,0.0,0.0,0.00011328125
105,935,0.0,0.0,0.0,0.0003515625
834,935,244.0,0.011959102778138088,0.00020749231949450945,0.5902213342712
834,458,244.0,0.0011571945665826077,2.0077508253010548e-05,0.0571113848397
612,907,104.0,0.03583774235195104,0.0818857836032661,0.4946503371166
432,996,0.0,0.0,0.0,5.46875e-05
