ID,demand,reference_demand,agriculture,households,industry,business_trade,public_services,el_industry,number_of_customers
1,14.978995433789954,31.2727718353271,0.1063818436776003,0.8936181563223997,0.0,0.0,0.0,0.0,8.0
2,24.850228310502285,52.6953125,0.0,1.0,0.0,0.0,0.0,0.0,10.0
3,54.02294520547945,109.671112060547,0.29353120291775225,0.7064687970822477,0.0,0.0,0.0,0.0,18.0
4,27.113812785388127,58.7083511352539,0.0,0.41368407314002786,0.5702202368672559,0.016095689992716312,0.0,0.0,14.0
5,61.909132420091325,131.277587890625,0.0,1.0,0.0,0.0,0.0,0.0,12.0
6,9.712100456621005,19.2336368560791,0.35614377394861185,0.6176332306824326,0.026222995368955546,0.0,0.0,0.0,10.0
7,39.91598173515982,79.7537307739258,0.0,0.8719513590189439,0.034341539306305485,0.0,0.09370710167475062,0.0,24.0
8,63.272260273972606,132.880111694336,0.06605143748928761,0.9339485625107123,0.0,0.0,0.0,0.0,15.0
9,109.46381278538813,211.079864501953,0.0,0.5883274950646729,0.3083711282580198,0.09803285629516229,0.005268520382145014,0.0,38.0
10,49.79977168949772,105.509346008301,0.0,0.9979117287035296,0.0,0.00208827129647034,0.0,0.0,22.0
11,6.145662100456621,15.6697597503662,0.0,0.0,0.0,0.8568244297496099,0.14317557025039007,0.0,4.0
12,99.83059360730594,211.692169189453,0.0,1.0,0.0,0.0,0.0,0.0,42.0
13,153.16255707762556,325.488159179688,0.0,0.9922061796044434,0.0,0.007793820395556695,0.0,0.0,75.0
14,40.807648401826484,86.5339202880859,0.0,1.0,0.0,0.0,0.0,0.0,42.0
15,106.76050228310503,225.490463256836,0.0,0.0,0.0,1.0,0.0,0.0,1.0
16,115.10068493150685,256.803009033203,0.0,0.22176732303066007,0.05478229304896844,0.0,0.7234503839203715,0.0,31.0
17,116.94269406392694,0.0,0.0,0.625015374583422,0.32720334863307754,0.047781276783500484,0.0,0.0,42.0
18,25.126826484018263,53.2819442749023,0.0,1.0,0.0,0.0,0.0,0.0,10.0
19,49.58276255707762,96.969970703125,0.36599247142248675,0.5659418204422751,0.0,0.06806570813523811,0.0,0.0,12.0
20,68.07271689497716,144.349502563477,0.0,1.0,0.0,0.0,0.0,0.0,32.0
21,2.941552511415525,6.23752880096436,0.0,1.0,0.0,0.0,0.0,0.0,1.0
22,8.997374429223743,17.8583660125732,0.0,0.8233122295951381,0.1766877704048619,0.0,0.0,0.0,6.0
23,10.863584474885844,23.0369415283203,0.0,1.0,0.0,0.0,0.0,0.0,7.0
24,5.596575342465753,11.7242183685303,0.0,0.970994982254314,0.0,0.029005017745685962,0.0,0.0,4.0
25,96.29988584474886,188.037933349609,0.0,0.7968828348469097,0.16312840287960814,0.039988762273482165,0.0,0.0,42.0
26,7.361986301369863,13.9750528335571,0.003287280395714131,0.5618458389542726,0.43486688065001317,0.0,0.0,0.0,6.0
27,23.087671232876712,48.9576988220215,0.0,1.0,0.0,0.0,0.0,0.0,10.0
28,98.08470319634704,207.920181274414,0.0,0.9991783264394999,0.0,0.0008216735605000804,0.0,0.0,53.0
29,3.4539954337899546,7.32410573959351,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30,93.87054794520547,197.534652709961,0.0,0.13783676636191394,0.45779065214166015,0.36866811138432654,0.03570447011209939,0.0,14.0
31,16.658675799086758,32.9485778808594,0.4638936476392791,0.5361063523607209,0.0,0.0,0.0,0.0,5.0
32,0.2641552511415525,0.560299813747406,0.0,1.0,0.0,0.0,0.0,0.0,1.0
33,11.920319634703196,25.2776412963867,0.0,1.0,0.0,0.0,0.0,0.0,9.0
34,19.767351598173516,41.917163848877,0.0,1.0,0.0,0.0,0.0,0.0,9.0
35,33.31255707762557,70.3758239746094,0.0,0.9910183744662769,0.0,0.008981625533723074,0.0,0.0,14.0
36,51.720091324200915,109.673431396484,0.0,1.0,0.0,0.0,0.0,0.0,48.0
37,26.54942922374429,55.5694465637207,0.0,0.9439659805738413,0.0,0.04786454145580098,0.008169477970357695,0.0,15.0
38,37.593949771689495,74.734619140625,0.0,0.8496673478621293,0.0,0.15033265213787073,0.0,0.0,16.0
39,39.27066210045662,83.1968612670898,0.0,1.0,0.0,0.0,0.0,0.0,18.0
40,27.400456621004565,48.3952522277832,0.0,0.2331353008815638,0.6112661856116787,0.0,0.15559851350675755,0.0,4.0
41,45.202397260273976,59.9680671691895,0.3870768966570953,0.6129231033429047,0.0,0.0,0.0,0.0,15.0
42,22.168607305936074,42.4805488586426,0.0,0.7716803040211744,0.010298820270138056,0.0,0.21802087570868758,0.0,17.0
43,23.483675799086758,49.7975807189941,0.0,1.0,0.0,0.0,0.0,0.0,10.0
44,11.655707762557078,24.7164306640625,0.0,1.0,0.0,0.0,0.0,0.0,6.0
45,9.589383561643835,19.8377246856689,0.16810113924502695,0.831898860754973,0.0,0.0,0.0,0.0,4.0
46,7.6585616438356166,14.8349695205688,0.6872363576741344,0.3127636423258656,0.0,0.0,0.0,0.0,2.0
47,16.506963470319636,31.9757328033447,0.6830658155891038,0.3169341844108962,0.0,0.0,0.0,0.0,7.0
48,26.09851598173516,55.3424339294434,0.0,1.0,0.0,0.0,0.0,0.0,10.0
49,18.33664383561644,38.8833808898926,0.0,1.0,0.0,0.0,0.0,0.0,8.0
50,19.512785388127853,41.377010345459,0.0,1.0,0.0,0.0,0.0,0.0,7.0
51,105.3162100456621,223.059158325195,0.0,0.9978321428184311,0.0021678571815688785,0.0,0.0,0.0,45.0
52,34.573401826484016,73.2666320800781,0.0,0.9984712559804267,0.0,0.0015287440195732064,0.0,0.0,18.0
53,23.601712328767125,50.0477447509766,0.0,1.0,0.0,0.0,0.0,0.0,9.0
54,29.589840182648402,60.8917694091797,0.0,0.9289872572885763,0.0,0.014710250880570356,0.056302491830853334,0.0,9.0
55,4.9182648401826485,10.429666519165,0.0,1.0,0.0,0.0,0.0,0.0,4.0
56,71.66632420091324,166.029830932617,0.060678850010433306,0.8725782378698846,0.05505282758598719,0.011690084533694809,0.0,0.0,44.0
