ID,type,Pd,Qd,Gs,Bs,area_num,Vm,Va,baseKV,zone,max_Vm,min_Vm
1,3,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
2,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
3,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
4,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
5,1,34.573401826484016,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
6,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
7,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
8,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
9,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
10,1,105.3162100456621,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
11,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
12,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
13,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
14,1,18.33664383561644,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
15,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
16,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
17,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
18,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
19,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
20,1,37.593949771689495,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
21,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
22,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
23,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
24,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
25,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
26,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
27,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
28,1,16.658675799086758,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
29,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
30,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
31,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
32,1,93.87054794520547,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
33,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
34,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
35,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
36,1,0.2641552511415525,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
37,1,26.54942922374429,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
38,1,11.920319634703196,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
39,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
40,1,7.6585616438356166,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
41,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
42,1,3.4539954337899546,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
43,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
44,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
45,1,98.08470319634704,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
46,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
47,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
48,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
49,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
50,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
51,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
52,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
53,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
54,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
55,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
56,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
57,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
58,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
59,1,40.807648401826484,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
